ds,yhat,yhat_lower,yhat_upper
2018-12-31,20277.17260606022,12252.520437442594,27731.519667030574
2019-03-31,3509.5410838604294,-4638.930714698968,11527.945644156789
2019-06-30,19680.36351421934,11783.366009268568,28001.846015349187
2019-09-30,12505.899610925722,5174.4539186216,20345.5296197112
2019-12-31,21558.169801821874,13792.738418080806,29267.923559242357
2020-03-31,18040.365060506185,9499.849363019355,25373.038330177307
2020-06-30,11701.92933766723,3845.430046055962,19771.502112413356
2020-09-30,14302.118864840759,6591.766343327464,21985.714888229915
2020-12-31,30120.403095245405,21716.288736510647,38125.63391051333
2021-03-31,17530.371967303272,9231.279539143587,25622.919044394068
2021-06-30,18308.24647805012,9973.302171561105,26840.28330785276
2021-09-30,17845.80502393951,9652.619781032146,25950.353569166877
2021-12-31,31221.36459951422,23567.769862293462,39255.03229952353
2022-03-31,16729.868863388867,8269.070580734475,24208.408572535216
2022-06-30,25014.168190459164,17113.960074447306,33306.14404118751
2022-09-30,21291.56204817334,13259.178812447619,28866.528682858025
2022-12-31,32410.896096624692,24288.03985319622,40455.30476250922
2023-03-31,15643.264573843622,7618.934282692531,23516.359114099174
2023-06-30,31814.08700391247,23794.814002571497,40172.69699317259
2023-09-30,24639.623099746757,16469.13627710596,32781.88561968424
2023-12-31,33691.89328966343,25098.534515553078,42024.79372869432
2024-03-31,30174.088547429717,21942.2455180418,37366.61170932708
2024-06-30,23835.652823323515,15551.02343530646,31862.657004724675
2024-09-30,26435.8423494812,18358.432995925432,34795.97855238645
